iter	Passed	Remaining
0	4	4577
1	8	4217
2	12	4194
3	17	4366
4	22	4413
5	26	4354
6	31	4433
7	35	4463
8	40	4404
9	44	4442
10	50	4525
11	54	4485
12	58	4431
13	62	4409
14	67	4419
15	71	4386
16	75	4349
17	79	4336
18	83	4325
19	87	4285
20	90	4220
21	93	4165
22	97	4157
23	101	4110
24	104	4066
25	107	4023
26	110	3998
27	114	3982
28	118	3961
29	121	3922
30	124	3900
31	128	3890
32	132	3887
33	135	3858
34	138	3829
35	141	3800
36	146	3801
37	149	3777
38	152	3753
39	155	3728
40	158	3701
41	161	3688
42	164	3670
43	168	3662
44	172	3651
45	175	3643
46	179	3633
47	182	3616
48	186	3620
49	198	3776
50	203	3786
51	207	3780
52	211	3774
53	215	3769
54	218	3749
55	221	3726
56	225	3727
57	229	3730
58	232	3714
59	235	3695
60	239	3691
61	242	3671
62	245	3656
63	248	3639
64	251	3621
65	255	3616
66	259	3608
67	262	3601
68	265	3586
69	268	3571
70	272	3565
71	275	3551
72	278	3536
73	281	3519
74	284	3506
75	288	3503
76	291	3490
77	294	3477
78	297	3465
79	300	3453
80	304	3453
81	307	3447
82	311	3436
83	313	3422
84	316	3412
85	321	3415
86	325	3412
87	328	3401
88	331	3389
89	335	3387
90	338	3376
91	341	3366
92	344	3355
93	347	3344
94	350	3338
95	353	3327
96	356	3317
97	359	3308
98	362	3298
99	366	3299
100	369	3292
101	372	3283
102	376	3274
103	378	3264
104	383	3266
105	387	3265
106	390	3257
107	393	3247
108	396	3238
109	399	3236
110	403	3233
111	407	3227
112	410	3218
113	413	3211
114	416	3206
115	419	3197
116	422	3189
117	425	3182
118	429	3176
119	432	3170
120	435	3162
121	438	3156
122	441	3149
123	445	3146
124	448	3141
125	452	3137
126	455	3131
127	458	3124
128	462	3122
129	466	3119
130	469	3114
131	473	3110
132	477	3109
133	480	3106
134	484	3106
135	488	3103
136	491	3098
137	495	3097
138	499	3091
139	502	3084
140	505	3080
141	509	3078
142	512	3072
143	515	3065
144	518	3058
145	521	3051
146	525	3048
147	528	3044
148	531	3037
149	534	3030
150	537	3023
151	541	3019
152	544	3012
153	547	3005
154	549	2997
155	552	2990
156	555	2983
157	559	2981
158	562	2976
159	565	2969
160	568	2963
161	571	2957
162	576	2957
163	579	2956
164	582	2950
165	585	2943
166	589	2942
167	593	2941
168	597	2935
169	600	2929
170	603	2924
171	606	2919
172	609	2913
173	612	2907
174	615	2901
175	618	2895
176	621	2891
177	624	2886
178	628	2880
179	631	2874
180	633	2868
181	637	2863
182	640	2857
183	643	2852
184	646	2847
185	649	2841
186	653	2840
187	656	2836
188	659	2829
189	662	2823
190	665	2818
191	669	2816
192	672	2813
193	676	2810
194	679	2804
195	682	2799
196	686	2797
197	689	2794
198	692	2788
199	696	2787
200	701	2786
201	704	2781
202	707	2776
203	710	2771
204	713	2765
205	717	2764
206	720	2759
207	723	2754
208	726	2748
209	729	2743
210	732	2740
211	736	2735
212	738	2730
213	742	2725
214	744	2720
215	748	2717
216	751	2711
217	755	2709
218	758	2704
219	761	2699
220	765	2696
221	767	2691
222	771	2689
223	775	2687
224	780	2686
225	783	2682
226	786	2677
227	789	2672
228	792	2667
229	796	2665
230	799	2662
231	802	2657
232	805	2652
233	808	2647
234	812	2645
235	815	2640
236	818	2635
237	821	2629
238	824	2624
239	828	2622
240	831	2619
241	834	2614
242	837	2609
243	841	2606
244	844	2602
245	847	2598
246	850	2593
247	853	2588
248	856	2583
249	860	2580
250	863	2576
251	866	2571
252	869	2566
253	872	2562
254	876	2559
255	879	2555
256	882	2550
257	885	2545
258	888	2541
259	892	2539
260	895	2536
261	898	2532
262	902	2528
263	905	2525
264	909	2521
265	912	2516
266	915	2512
267	917	2507
268	921	2503
269	924	2499
270	927	2494
271	930	2490
272	933	2485
273	936	2480
274	939	2477
275	942	2472
276	945	2468
277	948	2464
278	952	2460
279	955	2457
280	958	2452
281	961	2449
282	965	2445
283	969	2444
284	973	2442
285	976	2437
286	979	2433
287	982	2428
288	986	2426
289	990	2424
290	993	2420
291	996	2416
292	999	2411
293	1003	2408
294	1005	2403
295	1008	2399
296	1011	2394
297	1014	2390
298	1018	2387
299	1021	2383
300	1024	2379
301	1027	2375
302	1030	2371
303	1034	2368
304	1037	2364
305	1040	2359
306	1043	2355
307	1046	2350
308	1050	2348
309	1053	2344
310	1056	2339
311	1059	2335
312	1062	2331
313	1066	2329
314	1069	2326
315	1074	2324
316	1077	2321
317	1081	2318
318	1084	2314
319	1087	2311
320	1090	2307
321	1093	2303
322	1097	2300
323	1101	2298
324	1104	2294
325	1107	2290
326	1110	2286
327	1114	2282
328	1117	2278
329	1120	2274
330	1123	2270
331	1126	2266
332	1129	2263
333	1133	2259
334	1136	2255
335	1139	2251
336	1141	2246
337	1145	2243
338	1149	2240
339	1152	2236
340	1155	2232
341	1158	2228
342	1162	2226
343	1166	2223
344	1169	2220
345	1172	2216
346	1176	2214
347	1180	2210
348	1183	2206
349	1186	2202
350	1189	2198
351	1193	2196
352	1196	2192
353	1199	2188
354	1202	2184
355	1205	2179
356	1208	2177
357	1212	2174
358	1215	2170
359	1218	2166
360	1221	2162
361	1225	2159
362	1228	2155
363	1231	2150
364	1233	2146
365	1236	2142
366	1240	2140
367	1243	2135
368	1246	2132
369	1249	2127
370	1252	2123
371	1256	2121
372	1259	2117
373	1262	2113
374	1265	2109
375	1268	2105
376	1272	2102
377	1275	2099
378	1278	2095
379	1281	2091
380	1284	2086
381	1288	2084
382	1291	2080
383	1294	2076
384	1297	2072
385	1300	2068
386	1304	2065
387	1308	2063
388	1311	2059
389	1314	2055
390	1317	2051
391	1321	2049
392	1324	2045
393	1327	2041
394	1330	2037
395	1333	2033
396	1336	2030
397	1340	2026
398	1343	2023
399	1346	2020
400	1350	2017
401	1353	2013
402	1356	2009
403	1360	2007
404	1364	2004
405	1368	2001
406	1372	1999
407	1376	1996
408	1380	1994
409	1384	1992
410	1388	1990
411	1392	1987
412	1397	1986
413	1402	1984
414	1406	1982
415	1410	1979
416	1415	1978
417	1419	1975
418	1422	1972
419	1425	1969
420	1429	1966
421	1433	1962
422	1436	1958
423	1439	1955
424	1442	1951
425	1446	1948
426	1449	1945
427	1453	1942
428	1457	1939
429	1461	1936
430	1464	1933
431	1467	1929
432	1470	1925
433	1474	1922
434	1478	1919
435	1481	1916
436	1484	1912
437	1487	1909
438	1491	1905
439	1494	1902
440	1497	1898
441	1500	1894
442	1503	1890
443	1507	1887
444	1511	1884
445	1514	1881
446	1517	1877
447	1520	1873
448	1524	1870
449	1527	1867
450	1531	1864
451	1534	1860
452	1538	1857
453	1542	1854
454	1545	1851
455	1548	1847
456	1551	1843
457	1555	1841
458	1559	1838
459	1563	1835
460	1567	1832
461	1570	1828
462	1574	1825
463	1577	1822
464	1580	1818
465	1584	1815
466	1587	1811
467	1591	1808
468	1594	1805
469	1597	1801
470	1600	1798
471	1604	1795
472	1608	1791
473	1611	1787
474	1614	1784
475	1617	1780
476	1621	1777
477	1624	1774
478	1628	1771
479	1631	1767
480	1634	1763
481	1638	1760
482	1641	1756
483	1644	1752
484	1647	1748
485	1650	1745
486	1653	1741
487	1656	1738
488	1659	1734
489	1662	1730
490	1665	1726
491	1669	1723
492	1672	1719
493	1675	1716
494	1678	1712
495	1681	1709
496	1685	1705
497	1688	1702
498	1691	1698
499	1694	1694
500	1697	1690
501	1701	1687
502	1704	1683
503	1706	1679
504	1709	1676
505	1712	1672
506	1716	1669
507	1719	1665
508	1722	1661
509	1725	1657
510	1728	1654
511	1732	1651
512	1736	1648
513	1739	1644
514	1742	1641
515	1745	1637
516	1749	1634
517	1753	1631
518	1756	1628
519	1759	1624
520	1763	1621
521	1767	1618
522	1770	1614
523	1772	1610
524	1775	1606
525	1779	1603
526	1782	1600
527	1785	1596
528	1788	1592
529	1791	1588
530	1795	1585
531	1798	1582
532	1801	1578
533	1804	1574
534	1807	1571
535	1811	1568
536	1814	1564
537	1817	1560
538	1820	1556
539	1823	1552
540	1827	1550
541	1831	1547
542	1834	1544
543	1837	1540
544	1840	1536
545	1844	1533
546	1847	1529
547	1850	1525
548	1853	1522
549	1856	1518
550	1859	1515
551	1863	1512
552	1866	1508
553	1869	1504
554	1873	1501
555	1876	1498
556	1879	1494
557	1882	1491
558	1885	1487
559	1889	1484
560	1892	1481
561	1895	1477
562	1898	1473
563	1902	1470
564	1906	1467
565	1909	1464
566	1912	1460
567	1915	1457
568	1918	1453
569	1923	1451
570	1927	1447
571	1930	1444
572	1933	1441
573	1937	1438
574	1941	1434
575	1944	1431
576	1948	1428
577	1952	1425
578	1956	1422
579	1959	1418
580	1962	1415
581	1965	1411
582	1969	1408
583	1972	1405
584	1975	1401
585	1979	1398
586	1982	1395
587	1986	1391
588	1989	1388
589	1992	1384
590	1995	1381
591	1998	1377
592	2002	1374
593	2005	1370
594	2008	1366
595	2011	1363
596	2013	1359
597	2017	1356
598	2020	1352
599	2023	1349
600	2026	1345
601	2029	1341
602	2033	1338
603	2037	1335
604	2040	1332
605	2043	1328
606	2046	1324
607	2050	1321
608	2053	1318
609	2056	1314
610	2059	1311
611	2062	1307
612	2066	1304
613	2069	1301
614	2072	1297
615	2075	1293
616	2078	1290
617	2081	1286
618	2085	1283
619	2087	1279
620	2090	1276
621	2093	1272
622	2097	1269
623	2100	1265
624	2103	1262
625	2106	1258
626	2109	1255
627	2113	1252
628	2116	1248
629	2120	1245
630	2123	1241
631	2126	1238
632	2130	1235
633	2133	1231
634	2136	1228
635	2139	1224
636	2144	1222
637	2148	1218
638	2151	1215
639	2154	1211
640	2157	1208
641	2161	1205
642	2164	1201
643	2167	1198
644	2170	1194
645	2174	1191
646	2177	1188
647	2180	1184
648	2183	1181
649	2187	1177
650	2190	1174
651	2194	1171
652	2197	1167
653	2200	1164
654	2203	1160
655	2207	1157
656	2211	1154
657	2214	1150
658	2218	1147
659	2221	1144
660	2225	1141
661	2229	1138
662	2232	1134
663	2235	1131
664	2239	1128
665	2243	1125
666	2247	1121
667	2251	1118
668	2255	1115
669	2259	1112
670	2262	1109
671	2265	1105
672	2268	1102
673	2272	1099
674	2275	1095
675	2279	1092
676	2282	1088
677	2285	1085
678	2289	1082
679	2292	1078
680	2295	1075
681	2298	1071
682	2301	1068
683	2304	1064
684	2307	1061
685	2311	1057
686	2314	1054
687	2317	1051
688	2322	1048
689	2325	1044
690	2328	1041
691	2331	1037
692	2336	1035
693	2340	1031
694	2344	1028
695	2347	1025
696	2352	1022
697	2355	1019
698	2358	1015
699	2362	1012
700	2365	1009
701	2369	1005
702	2372	1002
703	2375	998
704	2378	995
705	2383	992
706	2386	988
707	2389	985
708	2393	982
709	2396	978
710	2400	975
711	2403	972
712	2406	968
713	2409	965
714	2413	961
715	2417	958
716	2420	955
717	2423	951
718	2426	948
719	2430	945
720	2434	942
721	2437	938
722	2441	935
723	2444	931
724	2447	928
725	2451	925
726	2454	921
727	2457	918
728	2461	915
729	2464	911
730	2467	908
731	2470	904
732	2473	901
733	2477	897
734	2480	894
735	2483	890
736	2486	887
737	2489	883
738	2493	880
739	2496	877
740	2499	873
741	2502	870
742	2505	866
743	2509	863
744	2513	860
745	2516	856
746	2519	853
747	2522	849
748	2527	846
749	2530	843
750	2534	840
751	2537	836
752	2541	833
753	2545	830
754	2548	827
755	2551	823
756	2554	820
757	2559	817
758	2562	813
759	2564	809
760	2567	806
761	2571	803
762	2574	799
763	2577	796
764	2580	792
765	2583	789
766	2587	785
767	2590	782
768	2593	779
769	2596	775
770	2599	772
771	2604	769
772	2607	765
773	2610	762
774	2613	758
775	2616	755
776	2620	752
777	2623	748
778	2626	745
779	2629	741
780	2632	738
781	2635	734
782	2639	731
783	2642	728
784	2645	724
785	2649	721
786	2653	718
787	2656	714
788	2659	711
789	2662	707
790	2665	704
791	2668	700
792	2671	697
793	2674	694
794	2677	690
795	2680	687
796	2684	683
797	2687	680
798	2690	676
799	2693	673
800	2696	669
801	2700	666
802	2703	663
803	2706	659
804	2709	656
805	2713	653
806	2716	649
807	2720	646
808	2723	642
809	2726	639
810	2729	636
811	2733	632
812	2736	629
813	2740	626
814	2744	622
815	2748	619
816	2752	616
817	2755	613
818	2758	609
819	2761	606
820	2764	602
821	2767	599
822	2770	595
823	2774	592
824	2777	589
825	2780	585
826	2783	582
827	2786	578
828	2789	575
829	2792	571
830	2796	568
831	2799	565
832	2802	561
833	2805	558
834	2808	555
835	2812	551
836	2815	548
837	2818	544
838	2821	541
839	2824	537
840	2827	534
841	2831	531
842	2834	527
843	2837	524
844	2840	521
845	2844	517
846	2847	514
847	2851	511
848	2853	507
849	2856	504
850	2860	500
851	2863	497
852	2866	493
853	2869	490
854	2872	487
855	2876	483
856	2879	480
857	2882	477
858	2885	473
859	2888	470
860	2891	466
861	2895	463
862	2898	460
863	2901	456
864	2904	453
865	2907	449
866	2910	446
867	2913	443
868	2917	439
869	2920	436
870	2923	433
871	2926	429
872	2929	426
873	2933	422
874	2938	419
875	2942	416
876	2945	413
877	2948	409
878	2952	406
879	2955	403
880	2958	399
881	2961	396
882	2964	392
883	2967	389
884	2971	386
885	2974	382
886	2978	379
887	2982	376
888	2985	372
889	2989	369
890	2991	366
891	2995	362
892	2997	359
893	3001	355
894	3004	352
895	3007	349
896	3010	345
897	3013	342
898	3017	339
899	3020	335
900	3023	332
901	3026	328
902	3029	325
903	3033	322
904	3037	318
905	3039	315
906	3043	312
907	3045	308
908	3049	305
909	3053	302
910	3056	298
911	3059	295
912	3062	291
913	3066	288
914	3069	285
915	3072	281
916	3075	278
917	3078	274
918	3082	271
919	3085	268
920	3088	264
921	3091	261
922	3094	258
923	3097	254
924	3101	251
925	3104	248
926	3107	244
927	3110	241
928	3114	238
929	3117	234
930	3120	231
931	3123	227
932	3126	224
933	3130	221
934	3134	217
935	3138	214
936	3141	211
937	3145	207
938	3149	204
939	3152	201
940	3155	197
941	3158	194
942	3162	191
943	3165	187
944	3168	184
945	3171	181
946	3173	177
947	3177	174
948	3180	170
949	3183	167
950	3186	164
951	3189	160
952	3193	157
953	3196	154
954	3199	150
955	3203	147
956	3205	144
957	3209	140
958	3212	137
959	3215	133
960	3218	130
961	3221	127
962	3225	123
963	3228	120
964	3231	117
965	3234	113
966	3237	110
967	3241	107
968	3245	103
969	3248	100
970	3251	97
971	3254	93
972	3257	90
973	3260	87
974	3264	83
975	3267	80
976	3270	77
977	3274	73
978	3277	70
979	3279	66
980	3282	63
981	3285	60
982	3289	56
983	3292	53
984	3295	50
985	3299	46
986	3302	43
987	3306	40
988	3309	36
989	3313	33
990	3316	30
991	3320	26
992	3323	23
993	3327	20
994	3331	16
995	3335	13
996	3339	10
997	3342	6
998	3345	3
999	3348	0
